message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=1.960502, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.477988104";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.960502, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.464225630";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.929383, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.463260089";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.929383, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.448196150";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.898264, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.447200833";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.898264, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.431270507";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.867145, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.430147353";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.867145, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.415836258";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.836026, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.414052567";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.836026, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.401183059";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.804907, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.398512927";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.804907, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.384615300";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.773787, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.383319416";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.773787, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.367611285";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.742668, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.365872201";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.742668, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.351540505";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.711549, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.349532584";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.711549, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.335986334";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.680430, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.334867361";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.680430, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.321109665";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.649311, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.319248870";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.649311, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.304083907";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.618192, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.302243163";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.618192, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.287480955";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.587073, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.285933307";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.587073, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.272829471";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.555954, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.270895342";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.555954, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.256379940";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.524835, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.255462784";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.524835, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.240201344";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.493716, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.237741781";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.493716, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.223663138";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.462597, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.222288822";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.462597, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.207906809";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
